id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
252,-16.59376926758609,4.68823157132939,3.869522976112236,4.912376233342913,5.261654761171187,4.428668717973951,2.689667433243997,4.85510108149537,1.694900077197625,.8991767613047069,1
254,-10.08285616342851,4.068046692626596,4.100118487218714,3.370216654703825,5.290209538398079,4.470619802802485,-1.457336768449034,.0249117009508688,2.365215265055224,1.599158954690612,1
255,-12.93265827575946,4.602482718159719,4.286670989492725,3.061977277195095,5.24257673506759,4.472796081093535,-.2168434398104202,-.6337184093319317,1.400778083557437,3.14159991852853,1
258,-16.70580101358135,6.032122704288783,3.970753198701743,3.392111580499873,5.075397822443054,4.427291275148443,4.476600659344039,1.911308980831586,2.103262596596633,2.113353959862644,1
259,-.2751514969400316,4.102878250296535,4.39212183512997,3.318049319302741,5.264185361455914,4.433201371609243,-.3025619309834113,-.1789190243442108,1.235819155070751,1.522539468043731,1
262,-10.19385161437894,4.464883820865722,3.816796932946996,3.121642136358847,5.2200728943128,4.545172246475826,2.735734938896156,2.365602645441362,2.049454707970937,2.929226228537674,1
264,-17.60206621498185,4.171139946710156,4.315069734540672,4.018718147928688,5.171461809286964,4.442246304914961,2.706030028556563,2.043333574422082,1.312166481845351,5.748531697055196,1
267,-6.884783576011204,4.052956901904341,4.006501509236043,3.371467533527598,5.208141312551263,4.460090740809374,-.8672013762429182,-1.834999905469904,1.237860862594905,3.111600170260087,1
268,4.927528048645752,3.979534371289843,3.964492353591239,3.339446607351065,5.258390923277712,4.455078961760258,-.2630381929049377,.1591257764002937,1.373468056722339,2.22605903812596,1
270,-18.24100170449345,4.274626056808047,3.871509525078159,3.381594661993479,5.340903391995495,4.459176910247875,-.4766537793895958,3.269974235830488,2.269845900959855,2.664372125296638,1
273,-4.285705193863294,3.497890462480695,3.891721947734048,3.582681486406984,5.265347239041851,4.522967236730692,-.6640376486536589,2.502475995719637,1.716923328358272,3.232818297645299,1
274,-18.22005226124326,5.572374790451997,3.840461317799508,3.81630160131265,5.052410862558015,4.483872879498139,2.598476872095491,3.176757182127237,.9165348596901199,3.6300580238797,1
275,-8.052258959071583,4.511639504403266,3.800133846417007,3.330421840822357,5.296501784635652,4.47552874263021,-3.285081669694508,1.602165240756847,1.240863552746839,1.568946927811454,1
276,-17.29848763120796,3.278874142549638,3.79003156411806,3.978249869322771,5.46764331908868,4.446981625569933,2.645376260344154,3.615767601439031,1.195725672140825,1.850112927012934,1
279,.6101069700244264,4.064019211319425,3.866991419368851,3.337360188392715,5.239305771215053,4.422681275572075,2.260535831611435,-.5449996386751567,1.690014704522165,1.61095370439727,1
288,-.6203948410885735,4.119342256962851,3.839074308496648,3.383256503239645,5.249437077349474,4.471237236436392,-.5700946015717083,-.2911693292738584,1.461928957382051,3.705212751458973,1
289,1.997216836740608,4.28714157276206,4.257111183441408,3.268650585117597,5.214387842529534,4.46334026994329,-1.578673974129192,1.017141533037272,1.145082216930474,3.300329419227611,1
291,-16.05789384290204,3.522100089112454,4.08119000658415,3.319433470316166,5.304405842759771,4.407548090242593,8.38281036651485,-.9477373829400056,1.114050775504156,3.121083203992696,1
295,-17.88117689669423,4.375966571065701,4.039339456259658,3.56068314189113,5.197016518232049,4.459921871666701,3.41371335135499,1.56560032694424,1.08368023634278,3.767379926329478,1
299,-17.52258175572296,4.521531480567896,3.932416047970034,3.363169320002042,5.288446295336775,4.43356861456482,3.785206415555137,.1032756157696072,1.404411200610432,1.477224292478829,1
300,-17.82279408524166,5.869306610925253,3.459703284357791,3.859602740603655,5.261448043694327,4.521410426109206,3.459643871003177,1.577210190738482,1.50249395740274,4.603596014909675,1
301,-4.12919270661332,3.346849361767807,3.871841360690482,3.369275981715496,5.085145092027684,4.527432181003842,1.329845461001589,1.072007445882205,1.669945097306742,3.083481953587004,1
302,4.942642734953725,4.08233502200623,3.982658633741323,3.416458442162621,5.279827196577077,4.465952410730679,-.1577081255563003,.2000694582371217,1.321214079066461,2.257316978582332,1
303,-11.15155592234181,3.86068906204499,3.557711808071962,2.841586328566384,5.547824842386532,4.454272643621811,3.011348234539899,.2209766309358119,1.410077264300486,1.923436202858936,1
306,-18.4165741108341,4.652955554967796,4.240610608821507,3.676918812941869,5.260774398230791,4.45935481890579,1.067105699418688,-1.040608804761975,2.14272397228496,2.774608083468733,1
307,-17.93294402787084,4.563499794517243,3.808567190030395,3.767128170325896,5.279723665431665,4.442395375681102,2.551556575805165,1.407832379195288,2.531029490507219,1.282588528631727,1
309,-18.8645810844186,4.131825370484503,4.355987954882877,3.357440399049877,5.275576153073257,4.423579088445292,.390315122898246,-1.383187410360312,2.10022911444369,3.078977854687246,1
311,-3.957912065726825,4.130726824465301,3.866112229653085,3.73764799567989,5.143873782238835,4.421753254240246,-.9096028442352777,1.710161582039929,.8257782738902486,5.535689034689021,1
312,-18.11264996672592,3.321016479840256,3.905801479670579,4.699019824257714,5.208733890711261,4.457380045825452,.6605731466802147,2.631685690447267,1.597487210491552,3.817567811611405,1
313,-18.94009678141427,5.41152721919432,3.501963893128205,4.298241585727124,5.259435335976762,4.445639129557809,-1.437995405856386,.9488852850430879,2.741528864539282,.9940819736266382,1
314,-18.70370084732667,3.556707238303662,4.141826324879109,3.302870881846538,5.507974374776079,4.478451294133598,3.6463971262146,2.042953191119287,1.229560970520363,1.079022614353304,1
315,-7.290379430731277,3.94810533067517,3.767418656113576,3.631796289700429,5.159558994390226,4.42551395645858,-1.387464324980438,1.671310413516389,1.416445587583717,4.537331764111359,1
317,-5.601686106505225,3.33372790597861,3.986349391577974,3.39550177595748,5.273506810227963,4.416607781891301,.3692725090082681,-.3438826488333649,.9477080708264807,1.758294856584783,1
318,-7.629683440474565,4.77434917267685,3.914494823772944,2.87829749879576,5.379406485646878,4.440217672304767,-.2591865176803267,.5943232449296993,1.986144848316788,3.333413190866454,1
320,-1.046492627337164,3.943399117001201,3.894288738736258,3.217754461293258,5.197850187620422,4.452878884665293,.0916547013573884,1.327986084148312,1.166314925125378,1.67745318699965,1
321,-19.53406398663007,3.856040791408586,4.227955001676585,3.341759927572233,5.396245537208878,4.432804452132799,-.8044209888273328,-.8745940113789611,.9230404043976319,1.402562389232069,1
322,-17.5079747369437,4.297071789676294,3.584929468810214,4.193631351055719,5.208843941749834,4.458729373991962,3.89452082313931,.3406607522039935,2.363081903477922,3.403910755631303,1
324,-11.83828889698546,3.908850784676063,3.952303450486915,3.073437255785746,5.249700440670092,4.475956674247652,.1271972817405501,2.074175948829863,1.818153587640579,2.002156316301443,1
328,-16.49921917479837,5.139668904716676,3.782515266510675,3.06026241837796,5.382071474487288,4.469237682565947,5.273230857827245,1.17663223952988,1.120907153652248,6.668182957666551,1
329,-1.715223124728011,4.653832390662254,3.707689691953407,3.392253634377903,5.172634934862343,4.453361188366725,-1.952519128515344,.8623783359964385,.9830806395782503,2.826594970500617,1
331,-17.44886634917653,3.978471864117783,4.324576523901608,3.671079823544901,5.226499211110627,4.421671658287434,7.20708976100236,-.8536750085880115,.8895756660279736,3.626464483182209,1
